agent_id,algo,score,timer,reason,steps,space,step_index,x,y
1,hc,999,299,normal,10,0,0,11,5
1,hc,998,298,normal,10,0,1,12,5
1,hc,997,297,normal,10,0,2,13,5
1,hc,996,296,normal,10,0,3,14,5
1,hc,995,295,normal,10,0,4,15,5
1,hc,994,294,normal,10,0,5,16,5
1,hc,993,293,normal,10,0,6,17,5
1,hc,992,292,normal,10,0,7,18,5
1,hc,991,291,normal,10,0,8,19,5
1,hc,990,290,normal,10,0,9,19,6
2,shc,999,299,normal,10,0,0,11,5
2,shc,998,298,normal,10,0,1,11,6
2,shc,997,297,normal,10,0,2,12,6
2,shc,996,296,normal,10,0,3,13,6
2,shc,995,295,normal,10,0,4,14,6
2,shc,994,294,normal,10,0,5,15,6
2,shc,993,293,normal,10,0,6,16,6
2,shc,992,292,normal,10,0,7,17,6
2,shc,991,291,normal,10,0,8,18,6
2,shc,990,290,normal,10,0,9,19,6
3,sa,999,299,normal,141,0,0,11,5
3,sa,998,298,normal,141,0,1,12,5
3,sa,997,297,normal,141,0,2,13,5
3,sa,996,296,normal,141,0,3,13,4
3,sa,995,295,normal,141,0,4,12,4
3,sa,994,294,normal,141,0,5,12,3
3,sa,993,293,normal,141,0,6,13,3
3,sa,992,292,normal,141,0,7,14,3
3,sa,991,291,normal,141,0,8,14,2
3,sa,990,290,normal,141,0,9,15,2
3,sa,989,289,normal,141,0,10,16,2
3,sa,838,288,angry,141,0,11,16,3
3,sa,837,287,normal,141,0,12,16,4
3,sa,836,286,normal,141,0,13,17,4
3,sa,835,285,normal,141,0,14,18,4
3,sa,834,284,normal,141,0,15,18,5
3,sa,833,283,normal,141,0,16,17,5
3,sa,832,282,normal,141,0,17,16,5
3,sa,831,281,normal,141,0,18,15,5
3,sa,830,280,normal,141,0,19,15,4
3,sa,829,279,normal,141,0,20,14,4
3,sa,828,278,normal,141,0,21,14,5
3,sa,827,277,normal,141,0,22,14,6
3,sa,826,276,normal,141,0,23,13,6
3,sa,825,275,normal,141,0,24,12,6
3,sa,824,274,normal,141,0,25,11,6
3,sa,823,273,normal,141,0,26,10,6
3,sa,822,272,normal,141,0,27,9,6
3,sa,821,271,normal,141,0,28,9,5
3,sa,820,270,normal,141,0,29,8,5
3,sa,819,269,normal,141,0,30,8,4
3,sa,818,268,normal,141,0,31,9,4
3,sa,817,267,normal,141,0,32,9,3
3,sa,816,266,normal,141,0,33,9,2
3,sa,815,265,normal,141,0,34,9,1
3,sa,814,264,normal,141,0,35,10,1
3,sa,813,263,normal,141,0,36,10,2
3,sa,812,262,normal,141,0,37,11,2
3,sa,811,261,normal,141,0,38,12,2
3,sa,810,260,normal,141,0,39,12,3
3,sa,809,259,normal,141,0,40,11,3
3,sa,808,258,normal,141,0,41,11,4
3,sa,807,257,normal,141,0,42,12,4
3,sa,806,256,normal,141,0,43,12,5
3,sa,805,255,normal,141,0,44,11,5
3,sa,654,254,angry,141,0,45,10,5
3,sa,653,253,normal,141,0,46,10,6
3,sa,652,252,normal,141,0,47,11,6
3,sa,651,251,normal,141,0,48,12,6
3,sa,650,250,normal,141,0,49,13,6
3,sa,649,249,normal,141,0,50,14,6
