agent_id,algo,score,timer,reason,steps,space,step_index,x,y
1,hc,1000,300,normal,20,17,0,10,4
1,hc,1000,300,normal,20,17,1,11,4
1,hc,1000,300,normal,20,17,2,12,4
1,hc,1000,300,normal,20,17,3,13,4
1,hc,1000,300,normal,20,17,4,14,4
1,hc,1000,300,normal,20,17,5,15,4
1,hc,1000,300,normal,20,17,6,16,4
1,hc,1000,300,normal,20,17,7,17,4
1,hc,1000,300,normal,20,17,8,18,4
1,hc,1000,300,normal,20,17,9,19,4
1,hc,1000,300,normal,20,17,10,19,3
1,hc,1000,300,normal,20,17,11,20,3
1,hc,1000,300,normal,20,17,12,21,3
1,hc,1000,300,normal,20,17,13,22,3
1,hc,1000,300,normal,20,17,14,23,3
1,hc,1000,300,normal,20,17,15,24,3
1,hc,1000,300,normal,20,17,16,25,3
1,hc,1000,300,normal,20,17,17,26,3
1,hc,1000,300,normal,20,17,18,27,3
1,hc,1000,300,normal,20,17,19,27,2
2,shc,1000,300,normal,252,45,0,10,4
2,shc,1000,300,normal,252,45,1,10,3
2,shc,1000,300,normal,252,45,2,11,3
2,shc,1000,300,normal,252,45,3,12,3
2,shc,1000,300,normal,252,45,4,12,2
2,shc,1000,300,normal,252,45,5,11,2
2,shc,1000,300,normal,252,45,6,12,2
2,shc,1000,300,normal,252,45,7,11,2
2,shc,1000,300,normal,252,45,8,12,2
2,shc,1000,300,normal,252,45,9,11,2
2,shc,1000,300,normal,252,45,10,12,2
2,shc,1000,300,normal,252,45,11,11,2
2,shc,1000,300,normal,252,45,12,12,2
2,shc,1000,300,normal,252,45,13,12,3
2,shc,1000,300,normal,252,45,14,13,3
2,shc,1000,300,normal,252,45,15,14,3
2,shc,1000,300,normal,252,45,16,15,3
2,shc,1000,300,normal,252,45,17,16,3
2,shc,1000,300,normal,252,45,18,16,2
2,shc,1000,300,normal,252,45,19,17,2
2,shc,1000,300,normal,252,45,20,18,2
2,shc,1000,300,normal,252,45,21,19,2
2,shc,1000,300,normal,252,45,22,18,2
2,shc,1000,300,normal,252,45,23,19,2
2,shc,1000,300,normal,252,45,24,18,2
2,shc,1000,300,normal,252,45,25,19,2
2,shc,1000,300,normal,252,45,26,18,2
2,shc,1000,300,normal,252,45,27,19,2
2,shc,1000,300,normal,252,45,28,19,3
2,shc,1000,300,normal,252,45,29,20,3
2,shc,1000,300,normal,252,45,30,21,3
2,shc,1000,300,normal,252,45,31,22,3
2,shc,1000,300,normal,252,45,32,23,3
2,shc,1000,300,normal,252,45,33,24,3
2,shc,1000,300,normal,252,45,34,24,2
2,shc,1000,300,normal,252,45,35,25,2
2,shc,1000,300,normal,252,45,36,26,2
2,shc,1000,300,normal,252,45,37,27,2
3,sa,1000,300,normal,43,0,0,10,4
3,sa,1000,300,normal,43,0,1,10,3
3,sa,1000,300,normal,43,0,2,10,2
3,sa,1000,300,normal,43,0,3,11,2
3,sa,1000,300,normal,43,0,4,11,1
3,sa,1000,300,normal,43,0,5,11,0
3,sa,1000,300,normal,43,0,6,12,0
3,sa,1000,300,normal,43,0,7,13,0
3,sa,1000,300,normal,43,0,8,14,0
3,sa,1000,300,normal,43,0,9,14,1
3,sa,1000,300,normal,43,0,10,15,1
3,sa,1000,300,normal,43,0,11,16,1
3,sa,1000,300,normal,43,0,12,16,2
3,sa,1000,300,normal,43,0,13,17,2
3,sa,1000,300,normal,43,0,14,18,2
3,sa,1000,300,normal,43,0,15,19,2
3,sa,1000,300,normal,43,0,16,19,1
3,sa,1000,300,normal,43,0,17,18,1
3,sa,1000,300,normal,43,0,18,18,0
3,sa,1000,300,normal,43,0,19,19,0
3,sa,1000,300,normal,43,0,20,19,1
3,sa,1000,300,normal,43,0,21,19,2
3,sa,1000,300,normal,43,0,22,18,2
3,sa,1000,300,normal,43,0,23,18,3
3,sa,1000,300,normal,43,0,24,18,4
3,sa,1000,300,normal,43,0,25,18,5
3,sa,1000,300,normal,43,0,26,18,6
3,sa,1000,300,normal,43,0,27,19,6
3,sa,1000,300,normal,43,0,28,19,5
3,sa,1000,300,normal,43,0,29,19,4
3,sa,1000,300,normal,43,0,30,19,3
3,sa,1000,300,normal,43,0,31,20,3
3,sa,1000,300,normal,43,0,32,21,3
3,sa,1000,300,normal,43,0,33,22,3
3,sa,1000,300,normal,43,0,34,23,3
3,sa,1000,300,normal,43,0,35,23,2
3,sa,1000,300,normal,43,0,36,24,2
3,sa,1000,300,normal,43,0,37,24,3
3,sa,1000,300,normal,43,0,38,25,3
3,sa,1000,300,normal,43,0,39,25,2
3,sa,1000,300,normal,43,0,40,26,2
3,sa,1000,300,normal,43,0,41,27,2
