agent_id,algo,score,timer,reason,steps,space,step_index,x,y
1,hc,1000,300,normal,30,17,0,6,0
1,hc,1000,300,normal,30,17,1,7,0
1,hc,1000,300,normal,30,17,2,8,0
1,hc,1000,300,normal,30,17,3,9,0
1,hc,1000,300,normal,30,17,4,10,0
1,hc,1000,300,normal,30,17,5,11,0
1,hc,1000,300,normal,30,17,6,12,0
1,hc,1000,300,normal,30,17,7,13,0
1,hc,1000,300,normal,30,17,8,14,0
1,hc,1000,300,normal,30,17,9,15,0
1,hc,1000,300,normal,30,17,10,16,0
1,hc,1000,300,normal,30,17,11,17,0
1,hc,1000,300,normal,30,17,12,18,0
1,hc,1000,300,normal,30,17,13,19,0
1,hc,1000,300,normal,30,17,14,19,1
1,hc,1000,300,normal,30,17,15,19,2
1,hc,1000,300,normal,30,17,16,18,2
1,hc,1000,300,normal,30,17,17,17,2
1,hc,1000,300,normal,30,17,18,17,1
1,hc,1000,300,normal,30,17,19,18,1
1,hc,1000,300,normal,30,17,20,19,1
1,hc,1000,300,normal,30,17,21,19,2
1,hc,1000,300,normal,30,17,22,19,3
1,hc,1000,300,normal,30,17,23,20,3
1,hc,1000,300,normal,30,17,24,21,3
1,hc,1000,300,normal,30,17,25,22,3
1,hc,1000,300,normal,30,17,26,23,3
1,hc,1000,300,normal,30,17,27,24,3
1,hc,1000,300,normal,30,17,28,25,3
1,hc,1000,300,normal,30,17,29,25,2
2,shc,1000,300,normal,257,45,0,6,0
2,shc,1000,300,normal,257,45,1,6,1
2,shc,1000,300,normal,257,45,2,6,2
2,shc,1000,300,normal,257,45,3,7,2
2,shc,1000,300,normal,257,45,4,8,2
2,shc,1000,300,normal,257,45,5,9,2
2,shc,1000,300,normal,257,45,6,10,2
2,shc,1000,300,normal,257,45,7,11,2
2,shc,1000,300,normal,257,45,8,12,2
2,shc,1000,300,normal,257,45,9,13,2
2,shc,1000,300,normal,257,45,10,14,2
2,shc,1000,300,normal,257,45,11,15,2
2,shc,1000,300,normal,257,45,12,14,2
2,shc,1000,300,normal,257,45,13,15,2
2,shc,1000,300,normal,257,45,14,14,2
2,shc,1000,300,normal,257,45,15,15,2
2,shc,1000,300,normal,257,45,16,14,2
2,shc,1000,300,normal,257,45,17,15,2
2,shc,1000,300,normal,257,45,18,15,3
2,shc,1000,300,normal,257,45,19,15,2
2,shc,1000,300,normal,257,45,20,14,2
2,shc,1000,300,normal,257,45,21,13,2
2,shc,1000,300,normal,257,45,22,14,2
2,shc,1000,300,normal,257,45,23,15,2
2,shc,1000,300,normal,257,45,24,15,3
2,shc,1000,300,normal,257,45,25,15,2
2,shc,1000,300,normal,257,45,26,15,1
2,shc,1000,300,normal,257,45,27,16,1
2,shc,1000,300,normal,257,45,28,17,1
2,shc,1000,300,normal,257,45,29,18,1
2,shc,1000,300,normal,257,45,30,18,2
2,shc,1000,300,normal,257,45,31,19,2
2,shc,1000,300,normal,257,45,32,18,2
2,shc,1000,300,normal,257,45,33,19,2
2,shc,1000,300,normal,257,45,34,18,2
2,shc,1000,300,normal,257,45,35,19,2
