agent_id,algo,score,timer,reason,steps,space,step_index,x,y
1,hc,999,299,normal,20,17,0,6,4
1,hc,998,298,normal,20,17,1,7,4
1,hc,997,297,normal,20,17,2,8,4
1,hc,996,296,normal,20,17,3,9,4
1,hc,995,295,normal,20,17,4,10,4
1,hc,994,294,normal,20,17,5,11,4
1,hc,993,293,normal,20,17,6,12,4
1,hc,992,292,normal,20,17,7,13,4
1,hc,991,291,normal,20,17,8,14,4
1,hc,990,290,normal,20,17,9,15,4
1,hc,989,289,normal,20,17,10,16,4
1,hc,988,288,normal,20,17,11,17,4
1,hc,987,287,normal,20,17,12,18,4
1,hc,986,286,normal,20,17,13,19,4
1,hc,985,285,normal,20,17,14,19,3
1,hc,984,284,normal,20,17,15,20,3
1,hc,983,283,normal,20,17,16,21,3
1,hc,982,282,normal,20,17,17,22,3
1,hc,981,281,normal,20,17,18,23,3
1,hc,980,280,goal,20,17,19,24,3
2,shc,999,299,normal,176,50,0,6,4
2,shc,998,298,normal,176,50,1,7,4
2,shc,997,297,normal,176,50,2,8,4
2,shc,996,296,normal,176,50,3,8,3
2,shc,995,295,normal,176,50,4,9,3
2,shc,994,294,normal,176,50,5,8,3
2,shc,993,293,normal,176,50,6,9,3
2,shc,992,292,normal,176,50,7,8,3
2,shc,991,291,normal,176,50,8,9,3
2,shc,990,290,normal,176,50,9,8,3
2,shc,989,289,normal,176,50,10,9,3
2,shc,988,288,normal,176,50,11,9,4
2,shc,987,287,normal,176,50,12,10,4
2,shc,986,286,normal,176,50,13,11,4
2,shc,985,285,normal,176,50,14,11,3
2,shc,984,284,normal,176,50,15,12,3
2,shc,983,283,normal,176,50,16,13,3
2,shc,982,282,normal,176,50,17,14,3
2,shc,981,281,normal,176,50,18,15,3
2,shc,980,280,normal,176,50,19,16,3
2,shc,979,279,normal,176,50,20,17,3
2,shc,978,278,normal,176,50,21,18,3
2,shc,977,277,normal,176,50,22,19,3
2,shc,976,276,normal,176,50,23,20,3
2,shc,975,275,normal,176,50,24,21,3
2,shc,974,274,normal,176,50,25,22,3
2,shc,973,273,normal,176,50,26,23,3
2,shc,972,272,goal,176,50,27,24,3
3,sa,999,299,normal,323,0,0,6,4
3,sa,998,298,normal,323,0,1,5,4
3,sa,997,297,normal,323,0,2,5,5
3,sa,996,296,normal,323,0,3,5,6
3,sa,995,295,normal,323,0,4,6,6
3,sa,994,294,normal,323,0,5,7,6
3,sa,993,293,normal,323,0,6,8,6
3,sa,992,292,normal,323,0,7,8,5
3,sa,991,291,normal,323,0,8,7,5
3,sa,990,290,normal,323,0,9,7,4
3,sa,989,289,normal,323,0,10,8,4
3,sa,988,288,normal,323,0,11,9,4
3,sa,987,287,normal,323,0,12,9,5
3,sa,986,286,normal,323,0,13,9,6
3,sa,985,285,normal,323,0,14,10,6
3,sa,984,284,normal,323,0,15,10,5
3,sa,983,283,normal,323,0,16,11,5
3,sa,982,282,normal,323,0,17,11,4
3,sa,981,281,normal,323,0,18,11,3
3,sa,980,280,normal,323,0,19,12,3
3,sa,979,279,normal,323,0,20,13,3
3,sa,978,278,normal,323,0,21,14,3
3,sa,977,277,normal,323,0,22,14,4
3,sa,976,276,normal,323,0,23,13,4
3,sa,975,275,normal,323,0,24,12,4
3,sa,974,274,normal,323,0,25,12,5
3,sa,973,273,normal,323,0,26,13,5
3,sa,972,272,normal,323,0,27,14,5
3,sa,971,271,normal,323,0,28,15,5
3,sa,970,270,normal,323,0,29,15,4
3,sa,969,269,normal,323,0,30,15,3
3,sa,968,268,normal,323,0,31,15,2
3,sa,967,267,normal,323,0,32,14,2
3,sa,966,266,normal,323,0,33,14,1
3,sa,965,265,normal,323,0,34,13,1
3,sa,814,264,angry,323,0,35,13,2
3,sa,813,263,normal,323,0,36,13,3
3,sa,812,262,normal,323,0,37,14,3
3,sa,811,261,normal,323,0,38,14,2
3,sa,810,260,normal,323,0,39,15,2
3,sa,809,259,normal,323,0,40,15,1
3,sa,808,258,normal,323,0,41,16,1
3,sa,807,257,normal,323,0,42,16,0
3,sa,806,256,normal,323,0,43,15,0
3,sa,805,255,normal,323,0,44,14,0
3,sa,804,254,normal,323,0,45,13,0
3,sa,803,253,normal,323,0,46,13,1
3,sa,652,252,angry,323,0,47,12,1
3,sa,501,251,angry,323,0,48,11,1
3,sa,500,250,normal,323,0,49,11,0
3,sa,499,249,normal,323,0,50,10,0
3,sa,498,248,normal,323,0,51,10,1
3,sa,497,247,normal,323,0,52,9,1
3,sa,496,246,normal,323,0,53,9,0
3,sa,495,245,normal,323,0,54,8,0
3,sa,494,244,normal,323,0,55,9,0
3,sa,493,243,normal,323,0,56,10,0
3,sa,492,242,normal,323,0,57,10,1
3,sa,491,241,normal,323,0,58,10,2
3,sa,490,240,normal,323,0,59,9,2
3,sa,489,239,normal,323,0,60,9,3
3,sa,488,238,normal,323,0,61,9,4
3,sa,487,237,normal,323,0,62,9,5
3,sa,486,236,normal,323,0,63,10,5
3,sa,485,235,normal,323,0,64,10,4
3,sa,484,234,normal,323,0,65,11,4
3,sa,483,233,normal,323,0,66,11,5
3,sa,482,232,normal,323,0,67,11,6
3,sa,481,231,normal,323,0,68,12,6
3,sa,480,230,normal,323,0,69,12,5
3,sa,479,229,normal,323,0,70,13,5
3,sa,478,228,normal,323,0,71,14,5
3,sa,477,227,normal,323,0,72,14,6
3,sa,476,226,normal,323,0,73,15,6
3,sa,475,225,normal,323,0,74,16,6
3,sa,474,224,normal,323,0,75,16,5
3,sa,473,223,normal,323,0,76,15,5
3,sa,472,222,normal,323,0,77,15,4
3,sa,471,221,normal,323,0,78,16,4
3,sa,470,220,normal,323,0,79,17,4
3,sa,469,219,normal,323,0,80,17,3
3,sa,468,218,normal,323,0,81,18,3
3,sa,467,217,normal,323,0,82,18,4
3,sa,466,216,normal,323,0,83,19,4
3,sa,465,215,normal,323,0,84,19,5
3,sa,464,214,normal,323,0,85,18,5
3,sa,463,213,normal,323,0,86,17,5
3,sa,462,212,normal,323,0,87,17,6
3,sa,461,211,normal,323,0,88,16,6
3,sa,460,210,normal,323,0,89,16,5
3,sa,459,209,normal,323,0,90,16,4
3,sa,458,208,normal,323,0,91,16,3
3,sa,457,207,normal,323,0,92,15,3
3,sa,456,206,normal,323,0,93,15,2
3,sa,455,205,normal,323,0,94,14,2
3,sa,454,204,normal,323,0,95,14,3
3,sa,453,203,normal,323,0,96,13,3
3,sa,452,202,normal,323,0,97,12,3
3,sa,451,201,normal,323,0,98,11,3
3,sa,450,200,normal,323,0,99,11,4
3,sa,449,199,normal,323,0,100,12,4
3,sa,448,198,normal,323,0,101,12,5
3,sa,447,197,normal,323,0,102,13,5
3,sa,446,196,normal,323,0,103,13,4
3,sa,445,195,normal,323,0,104,14,4
3,sa,444,194,normal,323,0,105,14,5
3,sa,443,193,normal,323,0,106,14,6
3,sa,442,192,normal,323,0,107,15,6
3,sa,441,191,normal,323,0,108,15,5
3,sa,440,190,normal,323,0,109,15,4
3,sa,439,189,normal,323,0,110,15,3
3,sa,438,188,normal,323,0,111,16,3
3,sa,437,187,normal,323,0,112,16,2
3,sa,436,186,normal,323,0,113,16,1
3,sa,435,185,normal,323,0,114,15,1
3,sa,434,184,normal,323,0,115,15,0
3,sa,433,183,normal,323,0,116,14,0
3,sa,432,182,normal,323,0,117,14,1
3,sa,431,181,normal,323,0,118,13,1
3,sa,280,180,angry,323,0,119,12,1
3,sa,279,179,normal,323,0,120,12,2
3,sa,278,178,normal,323,0,121,11,2
3,sa,127,177,angry,323,0,122,11,1
3,sa,126,176,normal,323,0,123,11,0
3,sa,125,175,normal,323,0,124,10,0
3,sa,124,174,normal,323,0,125,9,0
3,sa,123,173,normal,323,0,126,8,0
3,sa,122,172,normal,323,0,127,9,0
3,sa,121,171,normal,323,0,128,9,1
3,sa,120,170,normal,323,0,129,9,2
3,sa,119,169,normal,323,0,130,8,2
3,sa,118,168,normal,323,0,131,8,3
3,sa,117,167,normal,323,0,132,7,3
3,sa,116,166,normal,323,0,133,7,4
3,sa,115,165,normal,323,0,134,7,5
3,sa,114,164,normal,323,0,135,8,5
3,sa,113,163,normal,323,0,136,8,6
3,sa,112,162,normal,323,0,137,7,6
3,sa,111,161,normal,323,0,138,6,6
3,sa,110,160,normal,323,0,139,6,5
3,sa,109,159,normal,323,0,140,5,5
3,sa,108,158,normal,323,0,141,5,4
3,sa,107,157,normal,323,0,142,6,4
3,sa,106,156,normal,323,0,143,6,5
3,sa,105,155,normal,323,0,144,5,5
3,sa,104,154,normal,323,0,145,5,6
3,sa,103,153,normal,323,0,146,4,6
3,sa,102,152,normal,323,0,147,4,5
3,sa,101,151,normal,323,0,148,3,5
3,sa,100,150,normal,323,0,149,3,6
3,sa,99,149,normal,323,0,150,2,6
3,sa,98,148,normal,323,0,151,1,6
3,sa,97,147,normal,323,0,152,0,6
3,sa,96,146,normal,323,0,153,0,5
3,sa,0,145,no_points,323,0,154,0,4
