agent_id,algo,score,timer,reason,steps,space,step_index,x,y
1,hc,999,299,normal,40,17,0,3,6
1,hc,998,298,normal,40,17,1,4,6
1,hc,997,297,normal,40,17,2,5,6
1,hc,996,296,normal,40,17,3,6,6
1,hc,995,295,normal,40,17,4,7,6
1,hc,994,294,normal,40,17,5,8,6
1,hc,993,293,normal,40,17,6,9,6
1,hc,992,292,normal,40,17,7,10,6
1,hc,991,291,normal,40,17,8,11,6
1,hc,990,290,normal,40,17,9,12,6
1,hc,989,289,normal,40,17,10,13,6
1,hc,988,288,normal,40,17,11,14,6
1,hc,987,287,normal,40,17,12,15,6
1,hc,986,286,normal,40,17,13,16,6
1,hc,985,285,normal,40,17,14,17,6
1,hc,984,284,normal,40,17,15,18,6
1,hc,983,283,normal,40,17,16,19,6
1,hc,982,282,normal,40,17,17,19,5
1,hc,981,281,normal,40,17,18,18,5
1,hc,980,280,normal,40,17,19,17,5
1,hc,979,279,normal,40,17,20,17,6
1,hc,978,278,normal,40,17,21,18,6
1,hc,977,277,normal,40,17,22,19,6
1,hc,976,276,normal,40,17,23,19,5
1,hc,975,275,normal,40,17,24,19,4
1,hc,974,274,normal,40,17,25,19,3
1,hc,973,273,normal,40,17,26,20,3
1,hc,972,272,normal,40,17,27,21,3
1,hc,971,271,normal,40,17,28,22,3
1,hc,970,270,normal,40,17,29,23,3
1,hc,969,269,normal,40,17,30,23,4
1,hc,818,268,angry,40,17,31,24,4
1,hc,817,267,normal,40,17,32,25,4
1,hc,816,266,normal,40,17,33,26,4
1,hc,815,265,normal,40,17,34,27,4
1,hc,814,264,normal,40,17,35,28,4
1,hc,813,263,normal,40,17,36,29,4
1,hc,812,262,normal,40,17,37,30,4
1,hc,811,261,normal,40,17,38,30,5
1,hc,810,260,goal,40,17,39,30,6
2,shc,999,299,normal,1932,180,0,3,6
2,shc,998,298,normal,1932,180,1,4,6
2,shc,997,297,normal,1932,180,2,5,6
2,shc,996,296,normal,1932,180,3,6,6
2,shc,995,295,normal,1932,180,4,7,6
2,shc,994,294,normal,1932,180,5,8,6
2,shc,993,293,normal,1932,180,6,9,6
2,shc,992,292,normal,1932,180,7,10,6
2,shc,991,291,normal,1932,180,8,11,6
2,shc,990,290,normal,1932,180,9,12,6
2,shc,989,289,normal,1932,180,10,13,6
2,shc,988,288,normal,1932,180,11,14,6
2,shc,987,287,normal,1932,180,12,15,6
2,shc,986,286,normal,1932,180,13,16,6
2,shc,985,285,normal,1932,180,14,17,6
2,shc,984,284,normal,1932,180,15,18,6
2,shc,983,283,normal,1932,180,16,19,6
2,shc,982,282,normal,1932,180,17,18,6
2,shc,981,281,normal,1932,180,18,19,6
2,shc,980,280,normal,1932,180,19,18,6
