agent_id,algo,score,timer,reason,steps,space,step_index,x,y
1,hc,999,299,normal,24,17,0,9,2
1,hc,998,298,normal,24,17,1,10,2
1,hc,997,297,normal,24,17,2,11,2
1,hc,996,296,normal,24,17,3,12,2
1,hc,995,295,normal,24,17,4,13,2
1,hc,994,294,normal,24,17,5,14,2
1,hc,993,293,normal,24,17,6,15,2
1,hc,992,292,normal,24,17,7,16,2
1,hc,991,291,normal,24,17,8,17,2
1,hc,990,290,normal,24,17,9,18,2
1,hc,989,289,normal,24,17,10,19,2
1,hc,988,288,normal,24,17,11,19,3
1,hc,987,287,normal,24,17,12,20,3
1,hc,986,286,normal,24,17,13,21,3
1,hc,985,285,normal,24,17,14,22,3
1,hc,984,284,normal,24,17,15,23,3
1,hc,0,283,chair,24,17,16,24,3
2,shc,999,299,normal,1292,154,0,9,2
2,shc,998,298,normal,1292,154,1,9,3
2,shc,997,297,normal,1292,154,2,9,4
2,shc,996,296,normal,1292,154,3,10,4
2,shc,995,295,normal,1292,154,4,10,5
2,shc,994,294,normal,1292,154,5,11,5
2,shc,993,293,normal,1292,154,6,12,5
2,shc,992,292,normal,1292,154,7,13,5
2,shc,991,291,normal,1292,154,8,14,5
2,shc,990,290,normal,1292,154,9,14,6
2,shc,989,289,normal,1292,154,10,15,6
2,shc,988,288,normal,1292,154,11,16,6
2,shc,987,287,normal,1292,154,12,17,6
2,shc,836,286,angry,1292,154,13,18,6
2,shc,835,285,normal,1292,154,14,19,6
2,shc,684,284,angry,1292,154,15,18,6
2,shc,683,283,normal,1292,154,16,19,6
2,shc,532,282,angry,1292,154,17,18,6
2,shc,531,281,normal,1292,154,18,19,6
2,shc,380,280,angry,1292,154,19,18,6
2,shc,379,279,normal,1292,154,20,19,6
2,shc,378,278,normal,1292,154,21,19,5
2,shc,377,277,normal,1292,154,22,19,6
2,shc,226,276,angry,1292,154,23,18,6
2,shc,225,275,normal,1292,154,24,18,5
2,shc,224,274,normal,1292,154,25,19,5
2,shc,223,273,normal,1292,154,26,19,6
2,shc,72,272,angry,1292,154,27,18,6
2,shc,71,271,normal,1292,154,28,17,6
2,shc,0,270,no_points,1292,154,29,18,6
3,sa,999,299,normal,161,0,0,9,2
3,sa,998,298,normal,161,0,1,9,3
3,sa,997,297,normal,161,0,2,10,3
3,sa,996,296,normal,161,0,3,10,4
3,sa,995,295,normal,161,0,4,9,4
3,sa,994,294,normal,161,0,5,8,4
3,sa,993,293,normal,161,0,6,8,3
3,sa,992,292,normal,161,0,7,7,3
3,sa,991,291,normal,161,0,8,7,4
3,sa,990,290,normal,161,0,9,7,5
3,sa,989,289,normal,161,0,10,6,5
3,sa,988,288,normal,161,0,11,6,6
3,sa,987,287,normal,161,0,12,5,6
3,sa,986,286,normal,161,0,13,5,5
3,sa,985,285,normal,161,0,14,4,5
3,sa,984,284,normal,161,0,15,4,4
3,sa,983,283,normal,161,0,16,4,3
3,sa,982,282,normal,161,0,17,5,3
3,sa,981,281,normal,161,0,18,6,3
3,sa,980,280,normal,161,0,19,6,2
3,sa,979,279,normal,161,0,20,6,1
3,sa,978,278,normal,161,0,21,5,1
3,sa,977,277,normal,161,0,22,5,0
3,sa,976,276,normal,161,0,23,6,0
3,sa,975,275,normal,161,0,24,7,0
3,sa,974,274,normal,161,0,25,8,0
3,sa,973,273,normal,161,0,26,8,1
3,sa,972,272,normal,161,0,27,7,1
3,sa,971,271,normal,161,0,28,7,2
3,sa,970,270,normal,161,0,29,7,3
3,sa,969,269,normal,161,0,30,8,3
3,sa,968,268,normal,161,0,31,9,3
3,sa,967,267,normal,161,0,32,10,3
3,sa,966,266,normal,161,0,33,11,3
3,sa,965,265,normal,161,0,34,11,4
3,sa,964,264,normal,161,0,35,12,4
3,sa,963,263,normal,161,0,36,12,3
3,sa,962,262,normal,161,0,37,13,3
3,sa,961,261,normal,161,0,38,13,4
3,sa,960,260,normal,161,0,39,14,4
3,sa,959,259,normal,161,0,40,14,3
3,sa,958,258,normal,161,0,41,14,2
3,sa,957,257,normal,161,0,42,13,2
3,sa,956,256,normal,161,0,43,13,1
3,sa,955,255,normal,161,0,44,12,1
3,sa,954,254,normal,161,0,45,12,2
3,sa,953,253,normal,161,0,46,11,2
3,sa,952,252,normal,161,0,47,11,3
3,sa,951,251,normal,161,0,48,12,3
3,sa,950,250,normal,161,0,49,13,3
3,sa,949,249,normal,161,0,50,13,2
3,sa,948,248,normal,161,0,51,13,1
3,sa,947,247,normal,161,0,52,13,0
3,sa,946,246,normal,161,0,53,12,0
3,sa,945,245,normal,161,0,54,11,0
3,sa,944,244,normal,161,0,55,10,0
3,sa,943,243,normal,161,0,56,10,1
3,sa,942,242,normal,161,0,57,9,1
3,sa,941,241,normal,161,0,58,8,1
3,sa,940,240,normal,161,0,59,7,1
3,sa,939,239,normal,161,0,60,7,2
3,sa,938,238,normal,161,0,61,7,3
3,sa,937,237,normal,161,0,62,6,3
3,sa,936,236,normal,161,0,63,5,3
3,sa,935,235,normal,161,0,64,5,4
3,sa,934,234,normal,161,0,65,5,5
3,sa,933,233,normal,161,0,66,6,5
3,sa,932,232,normal,161,0,67,6,6
3,sa,931,231,normal,161,0,68,5,6
3,sa,930,230,normal,161,0,69,5,5
3,sa,929,229,normal,161,0,70,6,5
3,sa,928,228,normal,161,0,71,7,5
3,sa,927,227,normal,161,0,72,7,6
3,sa,926,226,normal,161,0,73,6,6
3,sa,925,225,normal,161,0,74,5,6
3,sa,924,224,normal,161,0,75,5,5
3,sa,923,223,normal,161,0,76,5,4
3,sa,922,222,normal,161,0,77,4,4
3,sa,921,221,normal,161,0,78,4,3
3,sa,920,220,normal,161,0,79,4,2
3,sa,919,219,normal,161,0,80,5,2
3,sa,918,218,normal,161,0,81,6,2
3,sa,917,217,normal,161,0,82,7,2
3,sa,916,216,normal,161,0,83,7,1
3,sa,915,215,normal,161,0,84,7,0
3,sa,914,214,normal,161,0,85,8,0
3,sa,913,213,normal,161,0,86,8,1
3,sa,912,212,normal,161,0,87,9,1
3,sa,911,211,normal,161,0,88,9,2
3,sa,910,210,normal,161,0,89,9,3
3,sa,909,209,normal,161,0,90,8,3
3,sa,908,208,normal,161,0,91,8,4
3,sa,907,207,normal,161,0,92,9,4
3,sa,906,206,normal,161,0,93,9,5
3,sa,905,205,normal,161,0,94,9,6
3,sa,904,204,normal,161,0,95,10,6
3,sa,903,203,normal,161,0,96,10,5
3,sa,902,202,normal,161,0,97,11,5
3,sa,901,201,normal,161,0,98,11,6
3,sa,900,200,normal,161,0,99,12,6
3,sa,899,199,normal,161,0,100,12,5
3,sa,898,198,normal,161,0,101,13,5
3,sa,897,197,normal,161,0,102,13,4
3,sa,896,196,normal,161,0,103,13,3
3,sa,895,195,normal,161,0,104,12,3
3,sa,894,194,normal,161,0,105,12,4
3,sa,893,193,normal,161,0,106,11,4
3,sa,892,192,normal,161,0,107,10,4
3,sa,891,191,normal,161,0,108,10,3
3,sa,890,190,normal,161,0,109,9,3
3,sa,889,189,normal,161,0,110,9,2
3,sa,888,188,normal,161,0,111,10,2
3,sa,887,187,normal,161,0,112,11,2
3,sa,886,186,normal,161,0,113,11,1
3,sa,885,185,normal,161,0,114,11,0
3,sa,884,184,normal,161,0,115,12,0
3,sa,883,183,normal,161,0,116,13,0
